199133,HUMANIDADES E CIDADANIA                                               ,4,A ,VANESSA MARIA DE CASTRO
199176,DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR                           ,6,A ,HIMILSYS HERNÁNDEZ GONZÁLEZ
201316,INTERAÇÃO HUMANO COMPUTADOR                                           ,4,A ,ANDRE BARROS DE SALES
203734,MÉTODOS EXPERIMENTAIS PARA ENGENHARIA                                 ,4,A ,RODRIGO ARBEY MUNOZ MENESES
203858,PLANEJAMENTO E GESTÃO DE ENERGIA                                      ,4,A ,FERNANDO PAIVA SCARDUA
203891,MEDIÇÃO E ANÁLISE                                                     ,4,A ,ELAINE VENSON
206296,INTEGRAÇÃO E TESTES                                                   ,6,A ,HENRIQUE GOMES DE MOURA
206580,VERIFICAÇÃO E VALIDAÇÃO DE SOFTWARE                                   ,4,A ,CRISTIANE SOARES RAMOS
207004,MÁQUINAS DE FLUXO                                                     ,5,A ,JHON NERO VAZ GOULART
108499,PROJETO DE SISTEMAS AEROESPACIAIS                                     ,6,A ,ARTEM ANDRIANOV
110108,PROPULSÃO AEROESPACIAL                                                ,6,A ,DOMENICO SIMONE
113778,TECNOLOGIAS DE FABRICAÇÃO 1                                           ,4,A ,RHANDER VIANA
113786,TECNOLOGIAS DE FABRICAÇÃO 2                                           ,4,A ,EDISON GUSTAVO CUEVA GALARRAGA
117650,PROJETO DE SISTEMAS DE OBSERVAÇÃO DA TERRA                            ,4,A ,GIANCARLO SANTILLI
193682,FUNDAMENTOS DA TEORIA ELETROMAGNÉTICA                                 ,6,A ,GERARDO ANTONIO IDROBO PIZO
193691,FÍSICA MODERNA                                                        ,6,A ,WYTLER CORDEIRO DOS SANTOS
193704,ESTRUTURAS DE DADOS E ALGORITMOS                                      ,4,A ,FERNANDO WILLIAM CRUZ
195308,MECANICA DOS SÓLIDOS PARA ENGENHARIA                                  ,4,A ,GLAUCENY CIRNE DE MEDEIROS
201332,ENGENHARIA DE PETRÓLEO E GÁS                                          ,4,A ,PATRICIA REGINA SOBRAL BRAGA
201634,ELETRICIDADE APLICADA                                                 ,6,A ,RENAN UTIDA FERREIRA
203769,ARQUITETURA DE MOTORES DE COMBUSTÃO INTERNA                           ,4,A ,FABIO ALFAIA DA CUNHA
203777,GESTÃO DA PRODUÇÃO AUTOMOTIVA                                         ,4,A ,ALESSANDRO BORGES DE SOUSA OLIVEIRA
